Iteration,Healthy,Infected
1,76,24
2,82,18
3,80,20
4,83,17
5,82,18
6,86,14
7,80,20
8,83,17
9,85,15
10,78,22
11,84,16
12,80,20
13,84,16
14,89,11
15,89,11
16,78,22
17,80,20
18,88,12
19,86,14
20,83,17
21,84,16
22,79,21
23,82,18
24,81,19
25,82,18
26,83,17
27,82,18
28,76,24
29,92,8
30,72,28
31,85,15
32,72,28
33,82,18
34,81,19
35,88,12
36,85,15
37,81,19
38,84,16
39,80,20
40,83,17
41,82,18
42,82,18
43,88,12
44,86,14
45,82,18
46,81,19
47,82,18
48,83,17
49,81,19
50,86,14
51,84,16
52,81,19
53,89,11
54,87,13
55,86,14
56,84,16
57,85,15
58,89,11
59,81,19
60,85,15
61,83,17
62,81,19
63,82,18
64,85,15
65,85,15
66,86,14
67,86,14
68,87,13
69,87,13
70,82,18
71,83,17
72,80,20
73,79,21
74,85,15
75,84,16
76,79,21
77,79,21
78,83,17
79,91,9
80,85,15
81,81,19
82,84,16
83,87,13
84,84,16
85,84,16
86,85,15
87,85,15
88,87,13
89,78,22
90,83,17
91,77,23
92,86,14
93,81,19
94,82,18
95,89,11
96,86,14
97,84,16
98,83,17
99,80,20
100,83,17
101,90,10
102,79,21
103,84,16
104,89,11
105,81,19
106,82,18
107,88,12
108,82,18
109,85,15
110,78,22
111,80,20
112,81,19
113,81,19
114,81,19
115,89,11
116,82,18
117,82,18
118,79,21
119,78,22
120,85,15
121,88,12
122,84,16
123,79,21
124,84,16
125,83,17
126,81,19
127,86,14
128,84,16
129,85,15
130,84,16
131,86,14
132,83,17
133,84,16
134,81,19
135,84,16
136,79,21
137,85,15
138,88,12
139,80,20
140,83,17
141,93,7
142,84,16
143,87,13
144,84,16
145,90,10
146,83,17
147,84,16
148,82,18
149,84,16
150,81,19
151,86,14
152,82,18
153,85,15
154,86,14
155,82,18
156,87,13
157,81,19
158,88,12
159,87,13
160,78,22
161,86,14
162,78,22
163,83,17
164,78,22
165,76,24
166,82,18
167,88,12
168,89,11
169,75,25
170,83,17
171,85,15
172,80,20
173,79,21
174,86,14
175,85,15
176,86,14
177,81,19
178,80,20
179,83,17
180,86,14
181,79,21
182,90,10
183,84,16
184,89,11
185,81,19
186,83,17
187,81,19
188,84,16
189,80,20
190,78,22
191,85,15
192,88,12
193,81,19
194,86,14
195,78,22
196,84,16
197,81,19
198,79,21
199,84,16
200,79,21
201,82,18
202,83,17
203,88,12
204,86,14
205,84,16
206,83,17
207,79,21
208,84,16
209,91,9
210,82,18
211,83,17
212,83,17
213,84,16
214,81,19
215,84,16
216,89,11
217,73,27
218,93,7
219,82,18
220,79,21
221,88,12
222,85,15
223,82,18
224,86,14
225,85,15
226,87,13
227,85,15
228,85,15
229,80,20
230,81,19
231,77,23
232,82,18
233,78,22
234,80,20
235,89,11
236,82,18
237,82,18
238,82,18
239,88,12
240,82,18
241,83,17
242,82,18
243,87,13
244,76,24
245,81,19
246,89,11
247,79,21
248,86,14
249,84,16
250,82,18
251,75,25
252,85,15
253,81,19
254,80,20
255,84,16
256,82,18
257,82,18
258,82,18
259,84,16
260,79,21
261,88,12
262,86,14
263,82,18
264,87,13
265,83,17
266,82,18
267,84,16
268,81,19
269,83,17
270,87,13
271,87,13
272,83,17
273,81,19
274,82,18
275,88,12
276,82,18
277,80,20
278,83,17
279,84,16
280,78,22
281,86,14
282,78,22
283,80,20
284,87,13
285,83,17
286,81,19
287,82,18
288,80,20
289,82,18
290,82,18
291,78,22
292,86,14
293,86,14
294,76,24
295,88,12
296,84,16
297,79,21
298,84,16
299,83,17
300,87,13
301,80,20
302,85,15
303,82,18
304,85,15
305,80,20
306,89,11
307,86,14
308,87,13
309,85,15
310,80,20
311,79,21
312,82,18
313,82,18
314,85,15
315,84,16
316,82,18
317,83,17
318,84,16
319,82,18
320,89,11
321,80,20
322,85,15
323,89,11
324,83,17
325,89,11
326,78,22
327,83,17
328,82,18
329,83,17
330,87,13
331,88,12
332,81,19
333,86,14
334,84,16
335,79,21
336,84,16
337,86,14
338,78,22
339,85,15
340,83,17
341,83,17
342,85,15
343,80,20
344,76,24
345,83,17
346,88,12
347,81,19
348,80,20
349,86,14
350,84,16
351,79,21
352,85,15
353,86,14
354,88,12
355,80,20
356,86,14
357,82,18
358,91,9
359,83,17
360,81,19
361,90,10
362,76,24
363,87,13
364,91,9
365,81,19
366,83,17
367,79,21
368,85,15
369,83,17
370,80,20
371,88,12
372,80,20
373,83,17
374,84,16
375,90,10
376,87,13
377,84,16
378,88,12
379,85,15
380,84,16
381,87,13
382,82,18
383,90,10
384,81,19
385,86,14
386,84,16
387,81,19
388,82,18
389,86,14
390,84,16
391,87,13
392,85,15
393,85,15
394,80,20
395,78,22
396,80,20
397,84,16
398,80,20
399,83,17
400,78,22
401,80,20
402,85,15
403,79,21
404,83,17
405,77,23
406,84,16
407,83,17
408,86,14
409,78,22
410,81,19
411,88,12
412,89,11
413,73,27
414,83,17
415,86,14
416,90,10
417,82,18
418,89,11
419,75,25
420,86,14
421,81,19
422,82,18
423,84,16
424,86,14
425,86,14
426,85,15
427,86,14
428,92,8
429,84,16
430,87,13
431,85,15
432,83,17
433,81,19
434,78,22
435,86,14
436,81,19
437,80,20
438,84,16
439,80,20
440,80,20
441,88,12
442,86,14
443,82,18
444,82,18
445,83,17
446,88,12
447,78,22
448,86,14
449,86,14
450,84,16
451,87,13
452,81,19
453,87,13
454,80,20
455,85,15
456,85,15
457,75,25
458,88,12
459,85,15
460,83,17
461,86,14
462,88,12
463,82,18
464,83,17
465,83,17
466,85,15
467,89,11
468,87,13
469,87,13
470,80,20
471,85,15
472,85,15
473,86,14
474,83,17
475,84,16
476,84,16
477,83,17
478,84,16
479,87,13
480,82,18
481,82,18
482,88,12
483,80,20
484,84,16
485,91,9
486,86,14
487,85,15
488,89,11
489,89,11
490,84,16
491,77,23
492,79,21
493,82,18
494,86,14
495,83,17
496,81,19
497,87,13
498,85,15
499,82,18
500,85,15
